grcode1,name1,detail of group 1,grcode2,name2,detail of group 2,grcode3,name3,detail of group 3,grcode4,name4,detail of group 4,no,generic name,syn name,detail of generic name,ประเภทยา,dosage,ED,คำแนะนำ,เงื่อนไข,คำเตือนและข้อควรระวัง,หมายเหตุ,Footnote,link file,Code ฉ.67,edit
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,7,Senna,,,,tab,ก,,,,,,,S,
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,8,Sodium phosphates ,,"มีตัวยาสำคัญต่อ 100 ml ดังนี้
- Sodium biphosphate 15.2-16.8 g
- Sodium phosphate     5.7-6.3 g",,enema,ก,,,,,,,S,
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,9,Lactulose,,,,syr,ข,,"1. ใช้สาหรับ hepatic encephalopathy
2. ใช้สาหรับ chronic constipation ในเด็กอายุน้อยกว่า 6 ปี
3. ใช้เป็นทางเลือกในหญิงตั้งครรภ์ที่ใช้ยาระบายอื่นไม่ได้
4. ใช้เป็นทางเลือกในผู้ป่วยที่มีข้อห้ามใช้ magnesium",,,,,S,
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,10,Macrogols with electrolytes,"Polyethylene glycol, PEG",,,oral pwdr (hosp),ค,,ใช้สำหรับเตรียมลำไส้ใหญ่ก่อนการผ่าตัดหรือตรวจลำไส้ ,,ไม่ใช้เป็นยาระบายหรือยาถ่าย,,,S,
1,Gastro-intestinal system ,,6,Laxatives ,,,,,,,,11,Sodium phosphates ,,"มีตัวยาสำคัญต่อ 5 ml ดังนี้
- Sodium biphosphate  0.9 g
- Sodium phosphate    2.4 g",,oral sol,ค,,"1. ใช้สำหรับเตรียมลำไส้ใหญ่ก่อนการผ่าตัดหรือตรวจลำไส้  
2. ไม่ใช้ยานี้เพื่อทดแทนการขาดฟอสเฟต หรือใช้เป็นยาระบายหรือยาถ่าย","1. รับประทานไม่เกินครั้งละ 45 มิลลิลิตร และไม่เกิน 90 มิลลิลิตร ภายใน 24 ชั่วโมง
2. ให้ระวังในผู้ป่วยสูงอายุ ผู้ป่วยโรคไตวาย และผู้ป่วยโรคหัวใจล้มเหลว",,,,S,
1,Gastro-intestinal system ,,7,Local preparations for anal and rectal disorders,,,,,,,,1,Local anesthetic + Corticosteroid with/without astringent ,,,,"cream, oint, rectal supp",ข,,"1. หนึ่งรูปแบบให้เลือก 1 สูตร 
2. ใช้ไม่เกิน 7 วัน ",,,,,S,
1,Gastro-intestinal system ,,8,Drugs affecting intestinal secretions ,,,,,,,,1,Colestyramine,Cholestyramine,,,oral pwdr,ข,,ใช้สำหรับ bile-acid diarrhea และ short bowel syndrome,,,,,S,
1,Gastro-intestinal system ,,8,Drugs affecting intestinal secretions ,,,,,,,,2,Pancreatic enzymes ,,"ต้องมี lipase activity ไม่น้อยกว่า 7,000 USP units/cap หรือ tab",,"cap, tab , EC cap , EC tab",ง,"1. ปริมาณของยาน้ำย่อยตับอ่อนทดแทนในผู้ป่วยที่มีปัญหาภาวะพร่องน้ำย่อยตับอ่อน ตามคำแนะนำควรพิจารณาให้กำหนดปริมาณ lipase activity 20,000 ถึง 50,000 units ต่อ 1 มื้อ
2. แนะนำให้ใช้ยาลดกรดร่วมด้วยเพื่อป้องกันการทำลาย lipase ในน้ำย่อยตับอ่อน โดยอาจใช้ยากลุ่ม H2-receptor antagonists หรือ Proton pump inhibitor (PPI) ร่วมด้วย
",ใช้เฉพาะผู้ป่วยที่เป็น pancreatic insufficiency เท่านั้น,,,,,S,
1,Gastro-intestinal system ,,8,Drugs affecting intestinal secretions ,,,,,,,,3,Ursodeoxycholic acid,Ursodiol,,,cap,ง,,ใช้สำหรับ cholestatic liver disease ,,,,,S,
2,Cardiovascular system ,,1,Positive inotropic drugs ,,,,,,,,1,Digoxin,,,,"tab, elixir, sterile sol",ก,,,,,,,S,
2,Cardiovascular system ,,1,Positive inotropic drugs ,,,,,,,,2,Milrinone lactate,,,,sterile sol,ง,,"1. ใช้เพิ่มการบีบตัวของหัวใจในผู้ป่วยหลังการผ่าตัดหัวใจ
2. ใช้ทดแทนหรือเสริม dopamine หรือ dobutamine ใน advanced heart failure
3. ใช้เพื่อเพิ่มการบีบตัวของหัวใจในผู้ป่วย advanced heart failure ที่เคยใช้ beta blocker มาก่อน",,,,,S,
2,Cardiovascular system ,,2,Diuretics ,,,,,,,,1,Furosemide,,,,"tab, sterile sol ",ก,,,,,,,S,
2,Cardiovascular system ,,2,Diuretics ,,,,,,,,2,Hydrochlorothiazide,HCTZ,,,tab,ก,,,,,,,S,
2,Cardiovascular system ,,2,Diuretics ,,,,,,,,3,Mannitol,,,,sterile sol,ก,,,,,,,S,
2,Cardiovascular system ,,2,Diuretics ,,,,,,,,4,Spironolactone,,,,tab,ก,,,,,,,S,
2,Cardiovascular system ,,2,Diuretics ,,,,,,,,5,Amiloride hydrochloride + Hydrochlorothiazide (HCTZ),,,,tab (เฉพาะ 5 + 50 mg),ข,,,,,,,S,
2,Cardiovascular system ,,3,Anti-arrhythmic drugs ,,,,,,,,1,Adenosine,,,,sterile sol,ก,,"1.  ใช้สำหรับรักษา supraventricular tachycardia
2.  ใช้ฉีดเข้าหลอดเลือดหัวใจเพื่อรักษาภาวะ no reflow ในผู้ป่วยที่ได้รับการทำ Percutaneous Coronary Intervention (PCI) เมื่อมีข้อห้ามใช้ยา verapamil หรือไม่มียา verapamil ให้ใช้
3.  ใช้สำหรับการตรวจพิเศษทางหัวใจ ",,,,,S,
2,Cardiovascular system ,,3,Anti-arrhythmic drugs ,,,,,,,,2,Atropine sulfate,,,,sterile sol,ก,,ใช้สำหรับ symptomatic bradycardia และการตรวจพิเศษทางหัวใจ,,,,,S,
2,Cardiovascular system ,,3,Anti-arrhythmic drugs ,,,,,,,,3,Lidocaine hydrochloride (preservative free),,,ยากำพร้า,"sterile sol (เฉพาะ 1% และ 2%),sterile sol (hosp)",ก,,ใช้สำหรับ ventricular arrhythmias,,,,,S,
2,Cardiovascular system ,,3,Anti-arrhythmic drugs ,,,,,,,,4,Magnesium sulfate,,,,sterile sol,ก,,ใช้สำหรับ refractory ventricular tachycardia ,,,,,S,
2,Cardiovascular system ,,3,Anti-arrhythmic drugs ,,,,,,,,5,Verapamil,,,,sterile sol,ก,,"1.   ใช้สำหรับ supraventricular tachyarrhythmias ซึ่งรวมทั้ง atrial fibrillation ที่ต้องการฤทธิ์ของยานาน 4-6 ชั่วโมง และไม่มีข้อห้ามใช้ calcium channel blockers
2.  ใช้ฉีดเข้าหลอดเลือดหัวใจเพื่อรักษาภาวะ no reflow ในผู้ป่วยที่ได้รับการทำ Percutaneous Coronary 
Intervention (PCI) ",,,,,S,
2,Cardiovascular system ,,3,Anti-arrhythmic drugs ,,,,,,,,6,Amiodarone hydrochloride,,,,"tab, sterile sol ",ค,,ใช้สำหรับ supraventricular และ ventricular arrhythmias,,,,,S,
2,Cardiovascular system ,,3,Anti-arrhythmic drugs ,,,,,,,,7,Flecainide acetate,,,,tab,ง,,ใช้กับผู้ป่วยที่ใช้ยาอื่นควบคุมจังหวะการเต้นผิดปกติของหัวใจไม่ได้หรือไม่ได้ผล,,,,,S,
2,Cardiovascular system ,,3,Anti-arrhythmic drugs ,,,,,,,,8,Propafenone hydrochloride,,,,tab,ง,,ใช้กับผู้ป่วยที่ใช้ยาอื่นควบคุมจังหวะการเต้นผิดปกติของหัวใจไม่ได้หรือไม่ได้ผล,,,,,S,
2,Cardiovascular system ,,4,Beta-adrenoceptor blocking drugs,,,,,,,,1,Atenolol,,,,tab,ก,,,,,,,S,
2,Cardiovascular system ,,4,Beta-adrenoceptor blocking drugs,,,,,,,,2,Metoprolol tartrate,,,,immediate release tab,ก,,,,,,,S,
2,Cardiovascular system ,,4,Beta-adrenoceptor blocking drugs,,,,,,,,3,Propranolol hydrochloride,,,,tab,ก,,,,,,,S,
2,Cardiovascular system ,,4,Beta-adrenoceptor blocking drugs,,,,,,,,4,Carvedilol ,,,,tab,ค,,ใช้สำหรับ heart failure with reduced ejection fraction,,,,,S,
2,Cardiovascular system ,,4,Beta-adrenoceptor blocking drugs,,,,,,,,5,Labetalol hydrochloride,,,ยากำพร้า,sterile sol  ,ค,,"ใช้สำหรับ hypertensive emergencies
",,,,,S,
2,Cardiovascular system ,,4,Beta-adrenoceptor blocking drugs,,,,,,,,6,Esmolol hydrochloride,,,,sterile sol,ง,,"1. ใช้สำหรับรักษาภาวะที่หัวใจมีการเต้นเร็วผิดปกติ (supraventricular tachycardia, non-compensatory sinus tachycardia) ในผู้ป่วยที่มีความเสี่ยงต่อการเกิดภาวะแทรกซ้อนของหัวใจและหลอดเลือด ทั้งในระหว่างและหลังการผ่าตัด
2. ใช้สำหรับควบคุมการเต้นของหัวใจให้ช้ากว่าปกติ หรือไม่ให้เต้นเร็ว ทั้งในระหว่างและหลังการผ่าตัด หรือในระหว่างการระงับความรู้สึก หรือ ทำหัตถการ เช่น การตรวจวินิจฉัย computed tomography (CT) heart เป็นต้น
3.  ใช้โดยวิสัญญีแพทย์",,ใช้ยานี้ในระยะสั้นไม่เกิน 24 ชั่วโมง,,,S,
2,Cardiovascular system ,,5,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs ,,1,Vasodilator antihypertensive drugs ,,,,,1,Hydralazine hydrochloride,,,ยากำพร้าเฉพาะรูปแบบ sterile pwdr,"tab, sterile pwdr",ก,,ชนิดฉีดใช้สำหรับ hypertensive emergencies¹ ในหญิงตั้งครรภ์,,,"¹ hypertensive emergencies  หมายถึงภาวะที่มี target organ damage (TOD) เช่น hypertensive encephalopathy, acute pulmonary edema, eclampsia เป็นต้น โดยส่วนใหญ่ผู้ป่วยจะมีความดัน diastolic ตั้งแต่ 120-130 mmHg และควรใช้ยาฉีดในการรักษา",,S,
2,Cardiovascular system ,,5,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs ,,1,Vasodilator antihypertensive drugs ,,,,,2,Sodium nitroprusside,,,ยากำพร้า,sterile pwdr,ก,,ใช้เป็นมาตรฐานการรักษาใน hypertensive emergencies (ยกเว้นในหญิงตั้งครรภ์) ,,,,,S,
2,Cardiovascular system ,,5,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs ,,2,Centrally acting antihypertensive drugs ,,,,,1,Methyldopa,,,,tab,ก,,ใช้สำหรับรักษาความดันเลือดสูงในหญิงตั้งครรภ์,,,,,S,
2,Cardiovascular system ,,5,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs ,,3,Alpha-adrenoceptor blocking drugs ,,,,,1,Prazosin hydrochloride,,,,tab,ข,,,,,,,S,
2,Cardiovascular system ,,5,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs ,,3,Alpha-adrenoceptor blocking drugs ,,,,,2,Doxazosin mesilate,,,,immediate release tab,ค,,,,,,,S,
2,Cardiovascular system ,,5,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs ,,4,Angiotensin-converting enzyme inhibitors,,,,,1,Enalapril maleate,,,,tab,ก,,,,,,,S,
2,Cardiovascular system ,,5,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs ,,4,Angiotensin-converting enzyme inhibitors,,,,,2,Captopril,,,,tab,ก,,ใช้สำหรับ hypertensive urgency² ,,กรณีที่สถานพยาบาลไม่มียาฉีดหรือไม่สามารถใช้ยาฉีดในการรักษา hypertensive emergencies อาจพิจารณาใช้ captopril เป็นทางเลือกในการรักษา," 2 hypertensive urgency หมายถึง ภาวะที่มีความดันเลือดสูงรุนแรง (severe elevated blood pressure) ที่ไม่มีภาวะ target organ 
damage (TOD) โดยส่วนใหญ่ผู้ป่วยจะมีความดัน diastolic ตั้งแต่ 120-130 mmHg ผู้ป่วยเหล่านี้ควรใช้ยารับประทานในการรักษา",,S,
2,Cardiovascular system ,,5,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs ,,4,Angiotensin-converting enzyme inhibitors,,,,,3,Lisinopril,,,,tab,ค,,ใช้สำหรับ post myocardial infarction,,,,,S,
2,Cardiovascular system ,,5,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs ,,5,Angiotensin-II receptor antagonists,,,,,1,Losartan potassium,,,,tab (เฉพาะ 50 และ 100 mg),ข,,ใช้กับผู้ป่วยที่ใช้ยาในกลุ่ม Angiotensin-converting enzyme inhibitors ไม่ได้ เนื่องจากเกิดอาการไม่พึงประสงค์จากการใช้ยาในกลุ่มดังกล่าว,,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,1,Nitrates ,,,,,1,Glyceryl trinitrate,,,,sterile sol,ก,,ใช้สำหรับ hypertensive emergencies ในกรณีที่มี coronary ischemia,,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,1,Nitrates ,,,,,2,Isosorbide dinitrate,,,,"tab, sublingual tab",ก,,,,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,1,Nitrates ,,,,,3,Isosorbide mononitrate,,,,tab,ก,,,,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,2,Calcium-channel blockers ,"ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า",,,,1,Amlodipine besilate,,,,tab,ก,,,,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,2,Calcium-channel blockers ,"ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า",,,,2,Diltiazem hydrochloride,,,,SR cap/SR tab (เฉพาะ 120 mg) ไม่รวมชนิด controlled release,ก,,ใช้สำหรับ ischemic heart disease (IHD),,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,2,Calcium-channel blockers ,"ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า",,,,3,Verapamil hydrochloride,,,,"tab, SR tab (เฉพาะ 240 mg)",ก,,ใช้สำหรับ ischemic heart disease (IHD),,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,2,Calcium-channel blockers ,"ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า",,,,4,Diltiazem hydrochloride,,,,immediate release tab,ข,,ใช้สำหรับ ischemic heart disease (IHD) ไม่แนะนำให้ใช้ในการรักษา essential hypertension,,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,2,Calcium-channel blockers ,"ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า",,,,5,Lercanidipine hydrochloride,,,,tab (เฉพาะ 20 mg),ข,,ใช้สำหรับเป็นทางเลือกในการรักษาผู้ป่วยที่ทนต่อผลข้างเคียงของยา Amlodipine ไม่ได้,,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,2,Calcium-channel blockers ,"ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า",,,,6,Manidipine hydrochloride,,,,tab (เฉพาะ 20 mg),ข,,ใช้สำหรับเป็นทางเลือกในการรักษาผู้ป่วยที่ทนต่อผลข้างเคียงของยา Amlodipine ไม่ได้,,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,2,Calcium-channel blockers ,"ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า",,,,7,Nicardipine hydrochloride,,,,sterile sol  ,ค,,"1. ใช้กับผู้ป่วย hypertensive  emergencies ที่ไม่มีภาวะแทรกซ้อนทางหัวใจ 
2. ใช้เป็นยาแทน (alternative drug) ในกรณีที่ไม่สามารถใช้ยา sodium nitroprusside หรือ glyceryl trinitrate (nitroglycerin) ได้",,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,2,Calcium-channel blockers ,"ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า",,,,8,Nifedipine,,,,SR cap/SR tab (เฉพาะ 20 mg),ง,,"1. ใช้สำหรับความดันเลือดสูงในหญิงตั้งครรภ์ที่ใช้ methyldopa และ hydralazine แล้วไม่ได้ผล
2. ใช้สำหรับ intractable Raynaud’s phenomenon",,,,,S,
2,Cardiovascular system ,,6,"Nitrates, calcium-channel blockers and other vasodilators",,2,Calcium-channel blockers ,"ยากลุ่มนี้ชนิดที่เป็น short-acting dihydropyridine (เช่น nifedipine immediate release) ไม่แนะนำให้ใช้รักษา essential hypertension, hypertensive emergencies , hypertensive urgency และ angina pectoris เนื่องจากมียาอื่นที่ปลอดภัยกว่า",,,,9,Nimodipine,,,,"tab, sterile sol",ง,,ใช้โดยแพทย์ผู้เชี่ยวชาญด้านประสาทวิทยาและประสาทศัลยศาสตร์สำหรับป้องกันพยาธิสภาพของระบบประสาทที่อาจดำเนินต่อไปจากการหดตัวของหลอดเลือด ภายหลังการเกิด subarachnoid hemorrhage ,,,,,S,
